Country,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+
RepublicofKorea,157,655,3176,1292,1521,2039,1405,725,498,0
Italy,1919,3442,12933,17934,29942,41435,30880,33141,40532,18602
